Date;Time;ÄR;BÖR;STYR;
2024-05-13;10:13:11.214;35.07427;35;19.82137;
2024-05-13;10:13:12.108;35.06578;35;19.80231;
2024-05-13;10:13:13.161;35.02465;35;20.13251;
2024-05-13;10:13:14.224;34.97902;35;20.59632;
2024-05-13;10:13:15.116;34.94752;35;20.97057;
2024-05-13;10:13:16.162;34.92632;35;21.30196;
2024-05-13;10:13:17.226;34.92843;35;21.40828;
2024-05-13;10:13:18.104;34.94248;35;21.36856;
2024-05-13;10:13:19.166;35.01079;35;20.72417;
2024-05-13;10:13:20.213;35.07382;35;20.00926;
2024-05-13;10:13:21.116;35.0931;35;19.68549;
2024-05-13;10:13:22.166;35.08577;35;19.59759;
2024-05-13;10:13:23.212;34.97222;35;20.64761;
2024-05-13;10:13:24.117;34.37607;35;27.11153;
2024-05-13;10:13:25.162;33.41958;35;38.73875;
2024-05-13;10:13:26.225;32.74027;35;49.03394;
2024-05-13;10:13:27.115;32.51505;35;54.9153;
2024-05-13;10:13:28.165;32.61505;35;58.20869;
2024-05-13;10:13:29.215;32.92417;35;58.99918;
2024-05-13;10:13:30.105;33.1894;35;59.22086;
2024-05-13;10:13:31.170;33.45827;35;59.43142;
2024-05-13;10:13:32.215;33.69127;35;59.55803;
2024-05-13;10:13:33.119;33.83156;35;59.98798;
2024-05-13;10:13:34.164;33.95044;35;60.72197;
2024-05-13;10:13:35.226;34.04361;35;61.5282;
2024-05-13;10:13:36.103;34.07978;35;62.56829;
2024-05-13;10:13:37.167;34.13675;35;63.56169;
2024-05-13;10:13:38.212;34.23513;35;63.9904;
2024-05-13;10:13:39.120;34.31924;35;64.22586;
2024-05-13;10:13:40.158;34.42909;35;64.20738;
2024-05-13;10:13:41.227;34.48938;35;64.5348;
2024-05-13;10:13:42.116;34.50738;35;65.10831;
2024-05-13;10:13:43.162;34.55485;35;65.44918;
2024-05-13;10:13:44.215;34.61313;35;65.58958;
2024-05-13;10:13:45.125;34.68384;35;65.39964;
2024-05-13;10:13:46.156;34.72848;35;65.45542;
2024-05-13;10:13:47.221;34.73812;35;65.82339;
2024-05-13;10:13:48.111;34.74722;35;66.11723;
2024-05-13;10:13:49.172;34.76107;35;66.41456;
2024-05-13;10:13:50.222;34.78372;35;66.58569;
2024-05-13;10:13:51.117;34.83278;35;66.37879;
2024-05-13;10:13:52.162;34.88462;35;66.09642;
2024-05-13;10:13:53.225;34.89362;35;66.19675;
2024-05-13;10:13:54.119;34.87598;35;66.54709;
2024-05-13;10:13:55.168;34.84076;35;67.15057;
2024-05-13;10:13:56.214;34.83127;35;67.53873;
2024-05-13;10:13:57.119;34.85913;35;67.49364;
2024-05-13;10:13:58.166;34.90586;35;67.22489;
2024-05-13;10:13:59.218;34.91808;35;67.25299;
2024-05-13;10:14:00.111;34.91999;35;67.35469;
2024-05-13;10:14:01.177;34.90022;35;67.71355;
2024-05-13;10:14:02.221;34.90456;35;67.85095;
2024-05-13;10:14:03.127;34.94188;35;67.58251;
2024-05-13;10:14:04.161;34.94319;35;67.67075;
2024-05-13;10:14:05.213;34.98609;35;67.30508;
2024-05-13;10:14:06.105;35.03128;35;66.8326;
2024-05-13;10:14:07.170;35.03093;35;66.77223;
2024-05-13;10:14:08.219;35.03489;35;66.67426;
2024-05-13;10:14:09.125;35.01638;35;66.82034;
2024-05-13;10:14:10.163;35.00323;35;66.93977;
2024-05-13;10:14:11.214;34.99588;35;67.0178;
2024-05-13;10:14:12.112;34.99836;35;66.99696;
2024-05-13;10:14:13.163;35.00816;35;66.89224;
2024-05-13;10:14:14.214;35.00927;35;66.85734;
2024-05-13;10:14:15.121;34.99009;35;67.05154;
2024-05-13;10:14:16.156;34.95707;35;67.43175;
2024-05-13;10:14:17.216;34.92944;35;67.81684;
2024-05-13;10:14:18.105;34.92892;35;67.9305;
2024-05-13;10:14:19.166;34.94572;35;67.86615;
2024-05-13;10:14:20.217;34.95842;35;67.82589;
2024-05-13;10:14:21.127;34.96985;35;67.76331;
2024-05-13;10:14:22.163;34.95564;35;67.96648;
2024-05-13;10:14:23.224;34.87351;35;68.93955;
2024-05-13;10:14:24.114;34.83959;35;69.51112;
2024-05-13;10:14:25.176;34.91756;35;68.94688;
2024-05-13;10:14:26.222;35.0202;35;67.95327;
2024-05-13;10:14:27.114;35.05064;35;67.58681;
2024-05-13;10:14:28.163;35.04616;35;67.55261;
2024-05-13;10:14:29.215;35.04739;35;67.45306;
2024-05-13;10:14:30.118;35.00954;35;67.78769;
2024-05-13;10:14:31.168;34.97341;35;68.17566;
2024-05-13;10:14:32.228;34.95976;35;68.374;
2024-05-13;10:14:33.122;34.96243;35;68.40818;
2024-05-13;10:14:34.170;34.95791;35;68.51808;
2024-05-13;10:14:35.221;34.94709;35;68.7205;
2024-05-13;10:14:36.114;34.96759;35;68.57578;
2024-05-13;10:14:37.177;34.97456;35;68.55621;
2024-05-13;10:14:38.224;34.99678;35;68.35345;
2024-05-13;10:14:39.114;35.01878;35;68.12241;
2024-05-13;10:14:40.164;35.06435;35;67.58663;
2024-05-13;10:14:41.217;35.0837;35;67.26274;
2024-05-13;10:14:42.110;35.08133;35;67.16125;
2024-05-13;10:14:43.174;35.06651;35;67.17667;
2024-05-13;10:14:44.227;35.02942;35;67.47322;
2024-05-13;10:14:45.116;35.02807;35;67.44535;
2024-05-13;10:14:46.165;35.02171;35;67.4705;
2024-05-13;10:14:47.229;35.0327;35;67.30962;
2024-05-13;10:14:48.106;35.01643;35;67.4341;
