Date;Time;ÄR;BÖR;STYR;
2024-05-13;10:33:31.146;35.65028;35;23.03395;
2024-05-13;10:33:32.196;35.6053;35;22.87711;
2024-05-13;10:33:33.107;35.54284;35;22.84468;
2024-05-13;10:33:34.144;35.43818;35;22.95718;
2024-05-13;10:33:35.207;35.39023;35;22.91715;
2024-05-13;10:33:36.100;35.35184;35;22.89088;
2024-05-13;10:33:37.151;35.35174;35;22.72136;
2024-05-13;10:33:38.199;35.3412;35;22.58781;
2024-05-13;10:33:39.111;35.32366;35;22.50647;
2024-05-13;10:33:40.143;35.29363;35;22.45857;
2024-05-13;10:33:41.212;35.32043;35;22.2198;
2024-05-13;10:33:42.110;35.31007;35;22.12062;
2024-05-13;10:33:43.146;35.2809;35;22.07494;
2024-05-13;10:33:44.211;35.25163;35;22.04178;
2024-05-13;10:33:45.109;35.22548;35;22.03083;
2024-05-13;10:33:46.156;35.21667;35;21.95357;
2024-05-13;10:33:47.206;35.14169;35;22.10203;
2024-05-13;10:33:48.110;34.56096;35;24.09567;
2024-05-13;10:33:49.146;33.58287;35;27.82724;
2024-05-13;10:33:50.212;32.79291;35;31.37417;
2024-05-13;10:33:51.105;32.34749;35;33.89141;
2024-05-13;10:33:52.143;32.02866;35;36.3406;
2024-05-13;10:33:53.212;31.86912;35;38.37124;
2024-05-13;10:33:54.108;31.83708;35;39.79914;
2024-05-13;10:33:55.159;31.88052;35;41.18817;
2024-05-13;10:33:56.194;31.91017;35;42.60437;
2024-05-13;10:33:57.100;31.97001;35;43.68699;
2024-05-13;10:33:58.146;32.07086;35;44.80339;
2024-05-13;10:33:59.194;32.14676;35;45.95807;
2024-05-13;10:34:00.115;32.19117;35;46.99446;
2024-05-13;10:34:01.143;32.24834;35;48.16101;
2024-05-13;10:34:02.193;32.30969;35;49.28469;
2024-05-13;10:34:03.99;32.37098;35;50.19144;
2024-05-13;10:34:04.161;32.4124;35;51.3271;
2024-05-13;10:34:05.196;32.48551;35;52.32979;
2024-05-13;10:34:06.99;32.57141;35;53.07625;
2024-05-13;10:34:07.161;32.67331;35;53.89502;
2024-05-13;10:34:08.207;32.75878;35;54.72281;
2024-05-13;10:34:09.96;32.79721;35;55.52338;
2024-05-13;10:34:10.159;32.84608;35;56.42456;
2024-05-13;10:34:11.195;32.92702;35;57.18578;
2024-05-13;10:34:12.94;33.01189;35;57.75189;
2024-05-13;10:34:13.145;33.0953;35;58.4211;
2024-05-13;10:34:14.197;33.19291;35;59.00174;
2024-05-13;10:34:15.103;33.27874;35;59.45172;
2024-05-13;10:34:16.152;33.35706;35;60.0084;
2024-05-13;10:34:17.212;33.38692;35;60.70293;
2024-05-13;10:34:18.102;33.42535;35;61.24286;
2024-05-13;10:34:19.149;33.48547;35;61.79463;
2024-05-13;10:34:20.195;33.53507;35;62.35711;
2024-05-13;10:34:21.101;33.58921;35;62.77821;
2024-05-13;10:34:22.147;33.64952;35;63.24892;
2024-05-13;10:34:23.208;33.70565;35;63.70729;
2024-05-13;10:34:24.100;33.76546;35;64.03648;
2024-05-13;10:34:25.149;33.86423;35;64.28561;
2024-05-13;10:34:26.197;33.97989;35;64.42371;
2024-05-13;10:34:27.103;34.02845;35;64.67651;
2024-05-13;10:34:28.149;34.04361;35;65.09544;
2024-05-13;10:34:29.210;34.05306;35;65.52803;
2024-05-13;10:34:30.101;34.08673;35;65.80724;
2024-05-13;10:34:31.146;34.18716;35;65.89119;
2024-05-13;10:34:32.207;34.26054;35;66.02065;
2024-05-13;10:34:33.113;34.28529;35;66.24264;
2024-05-13;10:34:34.148;34.32203;35;66.46004;
2024-05-13;10:34:35.213;34.38718;35;66.55643;
2024-05-13;10:34:36.105;34.39248;35;66.79276;
2024-05-13;10:34:37.156;34.40108;35;67.05916;
2024-05-13;10:34:38.209;34.41252;35;67.30966;
2024-05-13;10:34:39.104;34.395;35;67.618;
2024-05-13;10:34:40.159;34.42477;35;67.80737;
2024-05-13;10:34:41.210;34.47244;35;67.91759;
2024-05-13;10:34:42.104;34.53035;35;67.93239;
2024-05-13;10:34:43.157;34.5868;35;67.95885;
2024-05-13;10:34:44.209;34.64576;35;67.94733;
2024-05-13;10:34:45.104;34.6638;35;68.03063;
2024-05-13;10:34:46.157;34.6905;35;68.10023;
2024-05-13;10:34:47.202;34.74133;35;68.0699;
2024-05-13;10:34:48.110;34.78682;35;68.01601;
2024-05-13;10:34:49.151;34.79984;35;68.07068;
2024-05-13;10:34:50.207;34.82341;35;68.08537;
