Date;Time;ÄR;BÖR;STYR;
2024-05-13;10:01:51.182;34.88785;35;21.09931;
2024-05-13;10:01:52.72;34.91462;35;21.04001;
2024-05-13;10:01:53.118;34.9407;35;20.97302;
2024-05-13;10:01:54.165;34.96471;35;20.88887;
2024-05-13;10:01:55.218;34.96078;35;20.94427;
2024-05-13;10:01:56.125;34.97673;35;20.88833;
2024-05-13;10:01:57.171;35.04845;35;20.49964;
2024-05-13;10:01:58.217;35.0774;35;20.2819;
2024-05-13;10:01:59.125;35.05607;35;20.33632;
2024-05-13;10:02:00.178;34.99076;35;20.66115;
2024-05-13;10:02:01.72;34.95835;35;20.85411;
2024-05-13;10:02:02.118;34.91829;35;21.12207;
2024-05-13;10:02:03.179;34.88986;35;21.36468;
2024-05-13;10:02:04.69;34.86628;35;21.59002;
2024-05-13;10:02:05.131;34.87257;35;21.68572;
2024-05-13;10:02:06.179;34.8846;35;21.73952;
2024-05-13;10:02:07.73;34.91321;35;21.67236;
2024-05-13;10:02:08.123;34.97567;35;21.39927;
2024-05-13;10:02:09.177;35.06356;35;20.91671;
2024-05-13;10:02:10.216;35.13147;35;20.46312;
2024-05-13;10:02:11.125;34.83176;35;22.01597;
2024-05-13;10:02:12.176;33.90282;35;27.49548;
2024-05-13;10:02:13.70;33.07411;35;33.11783;
2024-05-13;10:02:14.119;32.43367;35;38.66864;
2024-05-13;10:02:15.169;32.10889;35;43.00897;
2024-05-13;10:02:16.216;32.0398;35;46.18084;
2024-05-13;10:02:17.128;32.07911;35;48.38269;
2024-05-13;10:02:18.180;32.20642;35;50.44219;
2024-05-13;10:02:19.230;32.37873;35;52.11603;
2024-05-13;10:02:20.120;32.51537;35;53.48362;
2024-05-13;10:02:21.167;32.66013;35;55.01995;
2024-05-13;10:02:22.229;32.79556;35;56.47488;
2024-05-13;10:02:23.119;32.95811;35;57.3576;
2024-05-13;10:02:24.167;33.1834;35;58.00689;
2024-05-13;10:02:25.226;33.34084;35;58.82977;
2024-05-13;10:02:26.132;33.42078;35;59.72939;
2024-05-13;10:02:27.165;33.46754;35;60.96877;
2024-05-13;10:02:28.68;33.53257;35;61.85368;
2024-05-13;10:02:29.134;33.59679;35;62.88552;
2024-05-13;10:02:30.166;33.68684;35;63.70669;
2024-05-13;10:02:31.229;33.76082;35;64.53217;
2024-05-13;10:02:32.120;33.83115;35;65.14919;
2024-05-13;10:02:33.171;33.93935;35;65.64127;
2024-05-13;10:02:34.220;34.0337;35;66.10985;
2024-05-13;10:02:35.129;34.13355;35;66.3346;
2024-05-13;10:02:36.176;34.27431;35;66.35117;
2024-05-13;10:02:37.69;34.3842;35;66.31708;
2024-05-13;10:02:38.134;34.45006;35;66.52274;
2024-05-13;10:02:39.170;34.50924;35;66.70536;
2024-05-13;10:02:40.68;34.57543;35;66.73345;
2024-05-13;10:02:41.119;34.66713;35;66.61163;
2024-05-13;10:02:42.174;34.73878;35;66.51575;
2024-05-13;10:02:43.73;34.76757;35;66.56443;
2024-05-13;10:02:44.121;34.7561;35;66.84865;
2024-05-13;10:02:45.173;34.70221;35;67.38592;
2024-05-13;10:02:46.221;34.63476;35;68.06163;
2024-05-13;10:02:47.131;34.63405;35;68.36714;
2024-05-13;10:02:48.166;34.67215;35;68.50039;
2024-05-13;10:02:49.71;34.72457;35;68.4716;
2024-05-13;10:02:50.133;34.81274;35;68.22855;
2024-05-13;10:02:51.179;34.84977;35;68.19115;
2024-05-13;10:02:52.72;34.89668;35;68.05154;
2024-05-13;10:02:53.133;35.01854;35;67.44913;
2024-05-13;10:02:54.167;35.07514;35;67.09368;
2024-05-13;10:02:55.216;35.0448;35;67.19306;
2024-05-13;10:02:56.128;34.99223;35;67.45647;
2024-05-13;10:02:57.177;34.98853;35;67.49342;
2024-05-13;10:02:58.68;35.02781;35;67.2814;
2024-05-13;10:02:59.133;35.04581;35;67.14783;
2024-05-13;10:03:00.180;35.03767;35;67.14855;
2024-05-13;10:03:01.68;34.99496;35;67.3587;
2024-05-13;10:03:02.130;34.91222;35;67.83677;
2024-05-13;10:03:03.175;34.82385;35;68.43201;
2024-05-13;10:03:04.71;34.7918;35;68.76382;
2024-05-13;10:03:05.133;34.83898;35;68.69519;
2024-05-13;10:03:06.167;34.88577;35;68.57892;
2024-05-13;10:03:07.72;34.93911;35;68.36912;
2024-05-13;10:03:08.122;34.98748;35;68.14899;
2024-05-13;10:03:09.173;34.95378;35;68.35008;
2024-05-13;10:03:10.72;34.89887;35;68.69661;
2024-05-13;10:03:11.124;34.84142;35;69.1313;
2024-05-13;10:03:12.174;34.86071;35;69.17288;
2024-05-13;10:03:13.69;34.88015;35;69.17661;
2024-05-13;10:03:14.121;34.91962;35;69.0648;
2024-05-13;10:03:15.173;34.91925;35;69.13788;
2024-05-13;10:03:16.219;34.89997;35;69.32935;
2024-05-13;10:03:17.128;34.90928;35;69.35998;
2024-05-13;10:03:18.176;34.96266;35;69.13997;
2024-05-13;10:03:19.68;34.99624;35;68.97839;
2024-05-13;10:03:20.129;35.02967;35;68.7907;
2024-05-13;10:03:21.174;35.07844;35;68.48226;
2024-05-13;10:03:22.223;35.11219;35;68.21121;
2024-05-13;10:03:23.131;35.14527;35;67.93256;
2024-05-13;10:03:24.169;35.17226;35;67.63377;
